"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"DiagnosticReport","DiagnosticReport","","Report
TestResultResultsLabsLaboratory","",0,*,"","","","null {[]} {[]}
","診斷報告—由請求資訊、不可被中斷的一個或一系列結果（atomic results）、影像、解釋以及格式化報告所組成。","對病人、一群病人、設備和地點、和／或由這些所產生的檢體進行診斷測試的發現與解釋，報告包括臨床情境，如請求和服務提供者的資訊，以及一些混合的不可被中斷的一個或一系列結果、影像、文字和編碼的解釋，以及格式化的診斷報告。","這是為了捕捉單一的報告資訊，不適合用於顯示涵蓋多個報告的摘要資訊。例如：此resource沒有為實驗室累積報告格式設計，也沒有為排序的詳細結構化報告設計。","","","","","","","","",,,,,"",,,,"DiagnosticReport",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Event","ORU -> OBR","Entity. Role, or Act","Observation[classCode=OBS, moodCode=EVN]"
"DiagnosticReport.id","DiagnosticReport.id","","","",0,1,"","","Y","id {[]} {[]}
","不重複的ID用以識別儲存在特定FHIR Server中的DiagnosticReport紀錄，通常又稱為邏輯性ID。","resource的邏輯ID，在resource的URL中使用。一旦指定，這個值永遠不會改變。","一個resource使用新增操作（create operation）提交給伺服器時，此resource沒有id，它的id在resource被創建後由伺器分配/指定。","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"DiagnosticReport.meta","DiagnosticReport.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","此DiagnosticReport Resource的metadata","關於resource的metadata。這是由基礎建設維護的內容。內容的更改可能並不總是與resource的版本更改相關聯。","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DiagnosticReport.implicitRules","DiagnosticReport.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","創建此內容所依據的一組規則","構建resource時遵循的一系列規則的參照，在處理內容時必須理解這些規則。通常這是對IG所定義之特殊規則及其他profiles的參照。","宣告這套規則限制了內容只能被有限的交易夥伴所理解。這從本質上限制了資料的長期有用性。然而，現有的健康生態體系高度分裂，還沒有準備好以普遍可計算的方式定義、收集和交換資料。只要有可能，實作者和/或規範編寫者應該避免使用這個資料項目。通常在使用時，此URL是對IG的參照，此IG將這些特殊規則與其他profiles、value sets等一起定義為其敘述的一部分。","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DiagnosticReport.language","DiagnosticReport.language","","","",0,1,"","","","code {[]} {[]}
","用以表述DiagnosticReport Resource內容的語言。","編寫此resource的語言","提供語言是為了支援索引和可存取性（通常，文字表述轉語音等服務使用此語言標籤）。html lanuage tag適用於此敘述。resource上的語言標籤可用於指定從resource中的資料所產成的其他表述之語言。不是所有的內容都必須使用此語言。不應該假定Resource.language自動適用於敘述。如果指定語言，它也應該被指定在html中的div資料項目（關於xml:lang和html lang屬性之間的關係，見HTML5中的規則）。","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""zh-TW""/>","","",,"preferred","人類語言；鼓勵使用CommonLanguages代碼表中的代碼，但不強制一定要使用此代碼表，你也可使用其他代碼表的代碼或單純以文字表示。","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DiagnosticReport.text","DiagnosticReport.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","DiagnosticReport Resource之內容摘要以供人閱讀","人可讀的敘述，包含resource的摘要，可用於向人表述resource的內容。敘述不需要對所有的結構化資料進行編碼，但需要包含足夠的細節使人在閱讀敘述時理解「臨床安全性」。resource定義有哪些內容應該在敘述中表示，以確保臨床安全。","內嵌（contained）的resource沒有敘述，非內嵌（contained）的resource則 **建議應該（SHOULD）** 有敘述。有時resource可能只有文字表述，很少或沒有額外的結構化資料（只要滿足所有minOccurs=1的資料項目）。這可能出現在舊系統的資料，當資訊以 「文字表述區塊（text blob） 」的形式被取得，或者文字表述是原始輸入或說明，而編碼資訊稍後再添加。","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"DiagnosticReport.contained","DiagnosticReport.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"DiagnosticReport.extension","DiagnosticReport.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"DiagnosticReport.modifierExtension","DiagnosticReport.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"DiagnosticReport.identifier","DiagnosticReport.identifier","","ReportID
Filler IDPlacer ID","",0,*,"","","Y","Identifier {[]} {[]}
","報告的業務用識別碼","由執行者或其他系統指定給該報告的業務用識別碼","此識別碼通常由診斷服務提供者的資訊系統指定","當從來源實驗室查詢此報告以及在FHIR情境之外連接到此報告時，需要知道在應使用什麼識別碼。","","","","","","","",,,,,"",,,,"DiagnosticReport.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.identifier","OBR-51/ for globally unique filler ID  - OBR-3 , For non-globally unique filler-id the flller/placer number must be combined with the universal service Id -  OBR-2(if present)+OBR-3+OBR-4","id","FiveWs.identifier"
"DiagnosticReport.basedOn","DiagnosticReport.basedOn","","Request
","",0,*,"","","","Reference {[]} {[CanonicalType[https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/CarePlan-twcore], CanonicalType[http://hl7.org/fhir/StructureDefinition/ImmunizationRecommendation], CanonicalType[https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/MedicationRequest-twcore], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionOrder], CanonicalType[https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/ServiceRequest-twcore]]}
","此報告是基於什麼服務的請求","有關請求的服務的細節","注意：通常每個結果有一個檢驗服務請求，但是在某些情況下，多個檢驗服務請求可以用同一個檢驗結果resource來表示。請注意，也存在一個服務請求導致多個報告的情況。","允許追蹤報告的授權，並追蹤提案／建議是否被採納。","","","","","","","",,,,,"",,,,"DiagnosticReport.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.basedOn","ORC? OBR-2/3?","outboundRelationship[typeCode=FLFS].target"
"DiagnosticReport.status","DiagnosticReport.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","registered | partial | preliminary | final +","診斷報告的狀態","","診斷服務通常會發布臨時／不完整的報告，有時候也會撤銷之前已發布的報告。","","","","","","","",,"required","診斷報告狀態；應填入所綁定值集中的其中一個代碼","http://hl7.org/fhir/ValueSet/diagnostic-report-status|4.0.1","",,,,"DiagnosticReport.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.status","OBR-25 (not 1:1 mapping)","statusCode  Note: final and amended are distinguished by whether observation is the subject of a ControlAct event of type ""revise""","FiveWs.status"
"DiagnosticReport.category","DiagnosticReport.category","","Department
Sub-departmentServiceDiscipline","",0,*,"Y","","Y","CodeableConcept {[CanonicalType[https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/CodeableConcept-tw]]} {[]}
","服務類別","對建立報告的臨床科、部門或診斷服務進行分類的代碼（例如：心臟病學、生物化學、血液學、MRI）。主要為了搜尋、排序和顯示時使用。","允許使用各種分類方案的多個類別。精細度由值集中的類別概念來定義。可使用DiagnosticReport.code中的metadata和（或）專門術語層次結構進行更細微的過濾。","","","","","","","","",,"extensible","診斷報告分類；應填入所綁定值集值集中適合的代碼，確定無適合的代碼才可以使用其他值集的代碼來表示。","http://hl7.org/fhir/ValueSet/diagnostic-service-sections","",,,,"DiagnosticReport.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBR-24","inboundRelationship[typeCode=COMP].source[classCode=LIST, moodCode=EVN, code < LabService].code","FiveWs.class"
"DiagnosticReport.code","DiagnosticReport.code","","Type
","",1,1,"Y","","Y","CodeableConcept {[CanonicalType[https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/CodeableConcept-tw]]} {[]}
","此診斷報告的名稱／代碼","描述該診斷報告的代碼或名稱","","","","","","","","","",,"preferred","鼓勵使用所綁定值集中的代碼，但不強制一定要使用此值集，你也可使用其他值集的代碼或單純以文字表示。","http://hl7.org/fhir/ValueSet/observation-codes","",,,,"DiagnosticReport.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.code","OBR-4 (HL7 v2 doesn't provide an easy way to indicate both the ordered test and the performed panel)","code","FiveWs.what[x]"
"DiagnosticReport.code.id","DiagnosticReport.code.id","","","",0,1,"","","","string {[]} {[]}
","唯一可識別ID，以供資料項目間相互參照。","resource中資料項目的唯一ID（用於內部參照）。這可以是任何不含空格的字串。","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"DiagnosticReport.code.extension","DiagnosticReport.code.extension","","","",0,*,"","","","Extension {[]} {[]}
","擴充的資料項目","擴充的資料項目","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
